Bot main heuristic;Bot mean elap;Bot win;Tie;Match elapsed time;Number moves;;;;
True;20.65;True;False;1585.2;124;;;;
True;1.68;True;False;42.06;21;;;;
True;5.05;True;False;164.67;29;;;;
True;4.75;True;False;149.62;27;;;;
True;2.43;True;False;37.7;18;;;;
True;4.66;True;False;90.6;32;;;;
True;4.22;True;False;25.83;9;;;;
True;5.06;True;False;136.32;29;;;;
True;7.18;True;False;108.99;24;;;;
True;13.75;True;False;624.22;63;;;;
True;6.44;True;False;124.08;27;;;;
True;12.69;False;False;731.12;60;;;;
True;3.61;True;False;94.09;31;;;;
True;5.74;True;False;101.52;26;;;;
True;10.1;False;False;292.52;42;;;;
True;6.64;True;False;260.51;43;;;;
True;3.14;True;False;84.23;24;;;;
True;4.01;True;False;102.84;29;;;;
True;8.17;True;False;162.37;30;;;;
True;5.16;True;False;45.88;13;;;;
True;3.81;True;False;51.85;16;;;;
True;18.17;True;False;39.9;11;;;;
True;2.62;True;False;26;15;;;;
True;1.52;True;False;11.8;9;;;;
True;3.1;True;False;46.81;23;;;;
True;3.31;True;False;14.8;9;;;;
True;2.92;True;False;32.38;15;;;;
True;1.62;True;False;15.71;13;;;;
True;2.42;True;False;45.03;23;;;;
True;3.47;True;False;28.94;13;;;;
True;3.38;True;False;20.96;15;;;;
True;5.47;True;False;69.17;23;;;;
True;4.03;True;False;67.51;17;;;;
True;2.28;True;False;33.34;15;;;;
True;9.88;False;False;332.02;50;;;;
True;2.83;True;False;27.18;13;;;;
True;7.1;True;False;178.02;29;;;;
True;11.3;True;False;514.91;17;;;;
True;17.54;False;False;225.73;27;;;;
True;60.05;True;False;149.33;22;;;;
True;21.61;True;False;73.58;21;;;;
True;11.33;True;False;258.84;17;;;;
True;36.99;True;False;78.98;17;;;;
True;17.86;True;False;266.12;25;;;;
True;10.6;True;False;93.21;13;;;;
True;14.69;True;False;35.29;21;;;;
True;5.73;True;False;115.53;23;;;;
True;8.39;True;False;131.51;21;;;;
True;3.31;True;False;12.22;23;;;;
True;65.02;True;False;84.79;23;;;;
True;1.25;False;False;17.19;10;;;;
True;15.86;True;False;244.19;23;;;;
True;5.61;True;False;42.71;13;;;;
True;4.44;False;False;131.83;31;;;;
True;6.98;False;False;301.34;50;;;;
True;10.38;True;False;272.75;37;;;;
True;8.43;True;False;294.64;29;;;;
True;22.06;False;False;685.58;44;;;;
True;9.01;False;False;272.08;28;;;;
True;5.47;True;False;158.97;31;;;;
True;21.76;True;False;3672.62;166;;;;
